Codebook 2020,,,,,,,,,,,,,,
Variable,Type,Description and Labels,Response Codes,Section,Availability,Template,Notes,Preserved,Handle1,Target1,Handle2,Target2,Special mapping,NaiveScale
DOEID,Num,Unique identifier for each respondent,100001-118496,ADMIN,,,Numerical,0,,,,,,
REGIONC,Char,Census Region,"Midwest
Northeast
South
West",GEOGRAPHY,,,Categorical,0,,,,,,
DIVISION,Char,"Census Division, Mountain Division is divided into North and South for RECS purposes","East North Central
East South Central
Middle Atlantic
Mountain North
Mountain South
New England
Pacific
South Atlantic
West North Central
West South Central",GEOGRAPHY,,,Categorical,0,,,,,,
STATE_FIPS,Char,State Federal Information Processing System Code,state_dictionary!A1,GEOGRAPHY,,,Categorical,0,,,,,,
state_postal,Char,State Postal Code,state_dictionary!A1,GEOGRAPHY,Known,,Categorical,1,,,,,1,
state_name,Char,State Name,state_dictionary!A1,GEOGRAPHY,,,Categorical,0,,,,,,
BA_climate,Char,Building America Climate Zone,"Cold
Hot-Dry
Hot-Humid
Marine
Mixed-Dry
Mixed-Humid
Subarctic
Very-Cold",ADMIN,,,Categorical,0,,,,,1,
IECC_climate_code,Char,2012 International Energy Conservation Code climate code,"1A
2A
2B
3A
3B
3C
4A
4B
4C
5A
5B
5C
6A
6B
7A
7AK
7B
8AK",ADMIN,Known,,Categorical,0,,,,,1,
UATYP10,Char,2010 Census Urban Type Code,"C Urban cluster
R Rural area
U Urban area",ADMIN,Known,,Categorical,1,,,,,,
HDD65,Num,"Heating degree days in 2020, base temperature 65F; Derived from the weighted temperatures of nearby weather stations",0-17383,WEATHER,,,Numerical,1,,,,,,
CDD65,Num,"Cooling degree days in 2020, base temperature 65F; Derived from the weighted temperatures of nearby weather stations",0-5534,WEATHER,,,Numerical,1,,,,,,
HDD30YR_PUB,Num,"Heating degree days, 30-year average 1981-2010, base temperature 65F; Taken from nearest weather station, inoculated with random errors",0-16071,WEATHER,,,Numerical,0,,,,,,
CDD30YR_PUB,Num,"Cooling degree days, 30-year average 1981-2010, base temperature 65F; Taken from nearest weather station, inoculated with random errors",0-4905,WEATHER,,,Numerical,0,,,,,,
TYPEHUQ,Num,Type of housing unit,"1 Mobile home
2 Single-family house detached from any other house 
3 Single-family house attached to one or more other houses (for example: duplex, row house, or townhome)
4 Apartment in a building with 2 to 4 units
5 Apartment in a building with 5 or more units",YOUR HOME,Known,Construction,Categorical,1,,,,,,
CELLAR,Num,Housing unit over a basement,"1 Yes
0 No
-2 Not applicable",YOUR HOME,Imputable,Construction,Categorical,1,-2,0,,,,
CRAWL,Num,Housing unit over a crawlspace,"1 Yes
0 No
-2 Not applicable",YOUR HOME,,Construction,Categorical,1,-2,0,,,,
CONCRETE,Num,Housing unit over a concrete slab,"1 Yes
0 No
-2 Not applicable",YOUR HOME,,Construction,Categorical,1,-2,0,,,,
BASEOTH,Num,Housing unit over some other foundation,"1 Yes
0 No
-2 Not applicable",YOUR HOME,,Construction,Categorical,1,-2,0,,,,
BASEFIN,Num,Finished basement,"1 Yes
0 No
-2 Not applicable",YOUR HOME,,Construction,Categorical,1,-2,0,,,,
ATTIC,Num,Attic above the housing unit,"1 Yes
0 No
-2 Not applicable",YOUR HOME,,Construction,Categorical,1,-2,0,,,,
ATTICFIN,Num,Finished attic,"1 Yes
0 No
-2 Not applicable",YOUR HOME,,Construction,Categorical,1,-2,0,,,,
STORIES,Num,Number of stories in a single-family home,"1 One story
2 Two stories
3 Three stories
4 Four or more stories
5 Split-level
-2 Not applicable",YOUR HOME,Known,Construction,Numerical,1,-2,0,5,1.5,,1
PRKGPLC1,Num,Attached garage,"1 Yes
0 No
-2 Not applicable",YOUR HOME,,Construction,Categorical,1,-2,0,,,,
SIZEOFGARAGE,Num,Size of attached garage,"1 One-car garage
2 Two-car garage
3 Three-or-more-car garage
-2 Not applicable",YOUR HOME,Imputable,Construction,Numerical,1,-2,0,,,,1
KOWNRENT,Num,Own or rent,"1 Own
2 Rent
3 Occupy without payment of rent",YOUR HOME,,Building,Categorical,1,,,,,,
YEARMADERANGE,Num,Range when housing unit was built,"1 Before 1950
2 1950 to 1959
3 1960 to 1969
4 1970 to 1979
5 1980 to 1989
6 1990 to 1999
7 2000 to 2009
8 2010 to 2015
9 2016 to 2020",YOUR HOME,Known,Building,Numerical,1,,,,,1,1
BEDROOMS,Num,Number of bedrooms (top-coded),0 - 6 ,YOUR HOME,Known,Building,Numerical,1,,,,,,1
NCOMBATH,Num,Number of full bathrooms (top-coded),0 - 4,YOUR HOME,Imputable,Building,Numerical,1,,,,,,1
