,archetype_category,IECC_climate_code,TYPEHUQ,cluster_count,best_prediction_accuracy,bic
0,construction,2A,1,2,0.7506493506493506,618.1445726536185
1,construction,2A,1,3,0.6675324675324675,356.6384910002398
2,construction,2A,1,4,0.7134199134199134,1506.533288253112
3,construction,2A,1,5,0.6857142857142857,2008.4002534747333
4,construction,2A,1,6,0.5848484848484848,1756.3941718213555
5,construction,2A,1,7,0.3974025974025974,2365.6800823554768
6,construction,2A,1,8,0.38701298701298703,4330.979176483348
7,construction,2A,1,9,0.3978354978354978,5235.973583111219
8,construction,2A,1,10,0.37965367965367963,5129.823458489091
9,construction,2A,1,11,0.40735930735930737,6425.274896366962
10,construction,2A,1,12,0.3883116883116883,7719.226334244835
11,construction,2A,1,13,0.3519480519480519,9463.265662747704
12,construction,2A,1,14,0.2865800865800866,10380.125303750578
13,construction,2A,1,15,0.2787878787878788,11862.732015065947
14,construction,2A,1,16,0.2779220779220779,12532.54185138132
15,construction,2A,1,17,0.20389610389610388,13904.45813300919
16,construction,2A,1,18,0.2025974025974026,15368.402734949563
17,construction,2A,1,19,0.23203463203463198,16767.114915014932
18,construction,2A,1,20,0.2502164502164502,17735.785102892805
0,systems,2A,1,2,0.8147186147186147,-1838.5421623555521
1,systems,2A,1,3,0.7316017316017316,-308.4646095603912
2,systems,2A,1,4,0.5372294372294372,507.2745643285198
3,systems,2A,1,5,0.5658008658008657,2186.5674491549307
4,systems,2A,1,6,0.6212121212121212,4552.612287106342
5,systems,2A,1,7,0.6852813852813853,6418.102437557751
6,systems,2A,1,8,0.5653679653679653,8625.372861446664
7,systems,2A,1,9,0.674891774891775,10835.411840023073
8,systems,2A,1,10,0.574025974025974,12141.262342036986
9,systems,2A,1,11,0.4545454545454545,14021.048390925895
10,systems,2A,1,12,0.42813852813852815,15850.453580439804
11,systems,2A,1,13,0.3887445887445887,17812.513066828717
12,systems,2A,1,14,0.4627705627705628,19770.11552196763
13,systems,2A,1,15,0.37922077922077924,21885.815633356542
14,systems,2A,1,16,0.42640692640692646,24277.347775995448
15,systems,2A,1,17,0.43506493506493504,26800.86038738436
16,systems,2A,1,18,0.3424242424242424,29220.931592523273
17,systems,2A,1,19,0.3787878787878788,31909.20982891218
18,systems,2A,1,20,0.36060606060606054,34616.08181530109
0,energy_loads,2A,1,2,0.990909090909091,1479.414890077718
1,energy_loads,2A,1,3,0.8333333333333334,-88.03354751204836
2,energy_loads,2A,1,4,0.8056277056277056,-110.05019188892413
3,energy_loads,2A,1,5,0.7965367965367964,-248.79370394158116
4,energy_loads,2A,1,6,0.5748917748917749,100.10038776552744
5,energy_loads,2A,1,7,0.4541125541125541,73.24881296872991
6,energy_loads,2A,1,8,0.5004329004329005,215.676474011776
7,energy_loads,2A,1,9,0.5,257.8708586876346
8,energy_loads,2A,1,10,0.6575757575757575,501.7981230021651
9,energy_loads,2A,1,11,0.638961038961039,492.6091153440393
10,energy_loads,2A,1,12,0.6203463203463204,297.6618984573979
11,energy_loads,2A,1,13,0.6108225108225109,213.11452287935026
12,energy_loads,2A,1,14,0.6012987012987013,279.06147103177136
13,energy_loads,2A,1,15,0.574025974025974,355.37292113731746
14,energy_loads,2A,1,16,0.5376623376623376,370.05033803973856
15,energy_loads,2A,1,17,0.5649350649350648,454.7199424421599
16,energy_loads,2A,1,18,0.40692640692640686,526.446675750831
17,energy_loads,2A,1,19,0.41688311688311686,654.5376668720021
18,energy_loads,2A,1,20,0.4632034632034632,691.6358601416107
0,construction,2A,2,2,0.8234648588011512,-22845.99562740373
1,construction,2A,2,3,0.8224845144612983,-38746.104877638514
2,construction,2A,2,4,0.867863239525923,-41880.8039716233
3,construction,2A,2,5,0.6715992781544164,-61057.21400310809
4,construction,2A,2,6,0.7208993805784519,-22772.346690842885
5,construction,2A,2,7,0.6094473979417647,-23552.81531607767
6,construction,2A,2,8,0.7248500219480076,-46612.23316006246
7,construction,2A,2,9,0.6440033165878165,-49088.50256654725
