,archetype_category,IECC_climate_code,TYPEHUQ,cluster_count,best_prediction_accuracy,bic
0,construction,2B,1,2,0.9428571428571428,817.8449075639993
1,construction,2B,1,3,0.6,643.6311115605824
2,construction,2B,1,4,0.7571428571428572,947.0424834038452
3,construction,2B,1,5,0.4714285714285714,998.0031106182018
4,construction,2B,1,6,0.3142857142857143,1038.792045938027
5,construction,2B,1,7,0.38095238095238093,1471.7593259844148
6,construction,2B,1,8,0.4428571428571429,1518.154340405803
7,construction,2B,1,9,0.4809523809523809,1937.5510638115657
8,construction,2B,1,10,0.30952380952380953,2188.5847501079534
9,construction,2B,1,11,0.37142857142857144,2632.030057498091
10,construction,2B,1,12,0.28095238095238095,3049.322532856979
11,construction,2B,1,13,0.28095238095238095,3437.2517269658665
12,construction,2B,1,14,0.1857142857142857,3812.354993340379
13,construction,2B,1,15,0.19523809523809524,4204.475349558643
0,systems,2B,1,2,1.0,-188.0000891686418
1,systems,2B,1,3,0.9714285714285715,748.3140330265624
2,systems,2B,1,4,0.7238095238095237,1281.392803659266
3,systems,2B,1,5,0.6571428571428571,2289.1749434325957
4,systems,2B,1,6,0.6285714285714284,3131.8691925809244
5,systems,2B,1,7,0.5333333333333333,4228.951869463628
6,systems,2B,1,8,0.28095238095238095,5061.668823690083
7,systems,2B,1,9,0.4428571428571428,6184.2139029165355
8,systems,2B,1,10,0.43809523809523815,7298.63300558049
9,systems,2B,1,11,0.4095238095238095,8446.514022306945
10,systems,2B,1,12,0.39999999999999997,9580.72951168965
11,systems,2B,1,13,0.3809523809523809,10728.140801853602
12,systems,2B,1,14,0.37619047619047613,11891.819181861305
13,systems,2B,1,15,0.3476190476190476,13079.774417337761
0,energy_loads,2B,1,2,0.8761904761904763,460.44438466127315
1,energy_loads,2B,1,3,0.8476190476190476,439.72471654975493
2,energy_loads,2B,1,4,0.8142857142857143,428.12757651440853
3,energy_loads,2B,1,5,0.6904761904761905,405.93067451617156
4,energy_loads,2B,1,6,0.661904761904762,406.7478201406152
